,country,province,age,sex,RecoveryRate,Hospitalizations,NonHospitalizations,deceased
123,Canada,British Columbia,53.40350877192982,0.543859649122807,0.0,0.0,0.2412280701754386,0.008771929824561403
124,Canada,Manitoba,52.57142857142857,0.5,0.0,0.0,0.25,0.0
125,Canada,New Brunswick,50.666666666666664,0.8333333333333334,0.0,0.0,0.25,0.0
126,Canada,Newfoundland and Labrador,40.0,0.0,0.0,0.0,0.25,0.0
127,Canada,Nova Scotia,54.5,0.625,0.0,0.0,0.25,0.0
128,Canada,Ontario,48.51639344262295,0.48360655737704916,0.00819672131147541,0.0,0.24180327868852458,0.0
129,Canada,Prince Edward Island,49.0,0.5,0.0,0.0,0.25,0.0
130,Canada,Quebec,42.46153846153846,0.5769230769230769,0.0,0.0,0.25,0.0
131,Canada,Saskatchewan,40.214285714285715,0.5714285714285714,0.0,0.0,0.25,0.0
132,Chile,Antofagasta,56.166666666666664,0.3333333333333333,0.0,0.0,0.25,0.0
133,Chile,Araucania,47.833333333333336,0.3333333333333333,0.0,0.0,0.25,0.0
134,Chile,Arica y Parinacota,40.0,1.0,0.0,0.0,0.25,0.0
135,Chile,Atacama,45.0,0.5,0.0,0.0,0.25,0.0
136,Chile,Aysen,61.5,0.5,0.0,0.0,0.25,0.0
137,Chile,Biobio,42.583333333333336,0.5833333333333334,0.0,0.0,0.25,0.0
138,Chile,Coquimbo,38.25,0.75,0.0,0.0,0.25,0.0
139,Chile,Los Lagos,41.142857142857146,0.42857142857142855,0.0,0.0,0.25,0.0
140,Chile,Los Rios,38.75,0.75,0.0,0.0,0.25,0.0
141,Chile,Magallanes,58.0,0.3333333333333333,0.0,0.0,0.25,0.0
142,Chile,Maule,59.75,0.3333333333333333,0.0,0.0,0.25,0.0
143,Chile,Metropolitan Region,33.04,0.6,0.0,0.0,0.25,0.0
144,Chile,Nuble,27.7,0.8,0.0,0.0,0.25,0.0
145,Chile,OHiggins,40.0,0.5,0.0,0.0,0.25,0.0
146,Chile,Santiago Metropolitan Region,56.0,1.0,0.0,0.0,0.25,0.0
147,Chile,Tarapaca,53.5,0.0,0.0,0.0,0.25,0.0
148,Chile,Valparaiso,45.4,0.6,0.0,0.0,0.25,0.0
149,China,Anhui,45.223958333333336,0.5572916666666666,0.0026041666666666665,0.0,0.24739583333333334,0.0
150,China,Beijing,43.23529411764706,0.5294117647058824,0.03676470588235294,0.0,0.21323529411764705,0.0
151,China,Chongqing,44.309859154929576,0.5633802816901409,0.0035211267605633804,0.0,0.24647887323943662,0.0
152,China,Fujian,46.33802816901409,0.5211267605633803,0.0,0.0,0.25,0.0
153,China,Gansu,44.725,0.4375,0.0375,0.0,0.2,0.0125
154,China,Guangdong,44.53947368421053,0.5263157894736842,0.0,0.0,0.25,0.0
155,China,Guangxi,45.95348837209303,0.5465116279069767,0.005813953488372093,0.0,0.2441860465116279,0.0
156,China,Guizhou,42.13333333333333,0.5166666666666667,0.05,0.0,0.2,0.0
157,China,Hainan,47.53763440860215,0.43010752688172044,0.0,0.0,0.2446236559139785,0.005376344086021506
158,China,Hebei,45.49090909090909,0.6545454545454545,0.0,0.0,0.24545454545454545,0.004545454545454545
159,China,Heilongjiang,49.388888888888886,0.6666666666666666,0.0,0.0,0.2222222222222222,0.027777777777777776
160,China,Henan,43.97163120567376,0.5177304964539007,0.0,0.0,0.25,0.0
161,China,Hong Kong,52.390243902439025,0.5609756097560976,0.024390243902439025,0.0,0.21341463414634146,0.012195121951219513
162,China,Hubei,53.098765432098766,0.5617283950617284,0.0030864197530864196,0.0,0.18518518518518517,0.06172839506172839
163,China,Hunan,44.52100840336134,0.48739495798319327,0.0,0.0,0.25,0.0
164,China,Inner Mongolia,44.77272727272727,0.6136363636363636,0.0,0.0,0.25,0.0
