,level_0,index,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,CaseFatality_Ratio
57,57,58,Gao,Congo (Brazzaville),2020-09-20 04:22:56,-0.228,15.8277,4986,89,3887,1010.0,Congo (Brazzaville),90.35731916031843,1.784997994384276
58,58,59,Tombouctou,Congo (Kinshasa),2020-09-20 04:22:56,-4.0383,21.7587,10488,268,9891,329.0,Congo (Kinshasa),11.710401502861655,2.555301296720061
59,59,60,محافظة مأرب,Croatia,2020-09-20 04:22:56,45.1,15.2,14725,244,12353,2128.0,Croatia,358.6854743709788,1.6570458404074704
60,60,61,محافظة حضرموت,Czechia,2020-09-20 04:22:56,49.8175,15.473,48306,499,24228,23579.0,Czechia,451.07929026307073,1.0329979712665094
61,61,62,Lazio,Djibouti,2020-09-20 04:22:56,11.8251,42.5903,5403,61,5333,9.0,Djibouti,546.8612411715766,1.1290024060707016
62,62,63,مطروح,Egypt,2020-09-20 04:22:56,26.820553000000004,30.802498,101900,5750,88666,7484.0,Egypt,99.57550639153091,5.642787046123651
63,63,64,Atakora,Equatorial Guinea,2020-09-20 04:22:56,1.6508,10.2679,5002,83,4509,410.0,Equatorial Guinea,356.5255508790187,1.6593362654938024
64,64,65,Sardegna,Ethiopia,2020-09-20 04:22:56,9.145,40.4897,68131,1089,27939,39103.0,Ethiopia,59.26311465083687,1.5983913343411955
65,65,66,بلوچستان,Finland,2020-09-20 04:22:56,61.92411,25.748151,8922,339,7700,883.0,Finland,161.0260619652543,3.799596503026226
66,66,67,Huíla,Gambia,2020-09-20 04:22:56,13.4432,-15.3101,3504,108,1992,1404.0,Gambia,144.9932634408424,3.0821917808219177
67,67,68,Карачаево-Черкесия,Georgia,2020-09-20 04:22:56,42.3154,43.3569,3306,19,1481,1806.0,Georgia,82.87427851623455,0.5747126436781609
68,68,69,منطقة مكة المكرمة,Greece,2020-09-20 04:22:56,39.0742,21.8243,14978,331,1347,13300.0,Greece,143.70065746552643,2.2099078648684736
69,69,70,አፋር ክልል / Afar,Holy See,2020-09-20 04:22:56,41.9029,12.4534,12,0,12,0.0,Holy See,1483.3127317676144,0.0
70,70,71,Могилёвская область,Iran,2020-09-20 04:22:56,32.427908,53.68804599999999,419043,24118,357632,37293.0,Iran,498.90256864763404,5.755495259436383
71,71,72,Ненецкий автономный округ,Kazakhstan,2020-09-20 04:22:56,48.0196,66.9237,107262,1671,101877,3714.0,Kazakhstan,571.250326268605,1.557867651171897
72,72,73,منطقة مكة المكرمة,Kosovo,2020-09-20 04:22:56,42.602636,20.902977,12683,488,8788,3407.0,Kosovo,700.5765684949894,3.8476701095955215
73,73,74,Одеська область,Kuwait,2020-09-20 04:22:56,29.31166,47.481766,99049,581,89498,8970.0,Kuwait,2319.342906310011,0.5865783602055549
74,74,75,ولاية شمال دارفور,Libya,2020-09-20 04:22:56,26.3351,17.228331,27234,436,14679,12119.0,Libya,396.34496419666357,1.6009400014687525
75,75,76,سناج Sanaag,Liechtenstein,2020-09-20 04:22:56,47.14,9.55,113,1,109,3.0,Liechtenstein,296.3001809266592,0.8849557522123894
76,76,77,أبو ظبي,Lithuania,2020-09-20 04:22:56,55.1694,23.8813,3664,87,2197,1380.0,Lithuania,134.59251784618178,2.3744541484716155
