,Unnamed: 0_x,country,province,age,sex,RecoveryRate,Hospitalizations,NonHospitalizations,deceased,Unnamed: 0_y,Confirmed,Deaths,Recovered,Active,Incidence_Rate,Case-Fatality_Ratio
65,157,China,Hainan,47.53763440860215,0.4301075268817205,0.0,0.0,0.2446236559139785,0.005376344086021507,87,171,6,165,0.0,1.8308351177730195,3.5087719298245608
66,158,China,Hebei,45.49090909090909,0.6545454545454545,0.0,0.0,0.24545454545454545,0.004545454545454545,88,365,6,356,3.0,0.4830598200105876,1.643835616438356
67,159,China,Heilongjiang,49.38888888888889,0.6666666666666666,0.0,0.0,0.2222222222222222,0.027777777777777776,89,948,13,935,0.0,2.5125894513649616,1.3713080168776368
68,160,China,Henan,44.172661870503596,0.5251798561151079,0.0,0.0,0.25,0.0,90,1279,22,1254,3.0,1.3315981259760539,1.7200938232994527
69,161,China,Hong Kong,52.39024390243903,0.5609756097560976,0.024390243902439025,0.0,0.21341463414634146,0.012195121951219513,91,5009,103,4708,198.0,66.81349896785214,2.056298662407666
70,162,China,Hubei,48.45454545454545,0.509090909090909,0.0,0.0,0.2409090909090909,0.00909090909090909,92,68139,4512,63627,0.0,115.1580192665202,6.6217584643155885
71,163,China,Hunan,44.52100840336134,0.4873949579831933,0.0,0.0,0.25,0.0,93,1019,4,1015,0.0,1.4770256558921582,0.3925417075564279
72,164,China,Inner Mongolia,44.77272727272727,0.6136363636363636,0.0,0.0,0.25,0.0,94,261,1,259,1.0,1.0299921073401737,0.3831417624521073
73,165,China,Jiangsu,45.12658227848101,0.5443037974683544,0.1360759493670886,0.0,0.1139240506329114,0.0,95,665,0,664,1.0,0.8259843497702148,0.0
74,166,China,Jiangxi,44.53061224489796,0.5510204081632653,0.0,0.0,0.25,0.0,96,935,1,934,0.0,2.011617900172117,0.106951871657754
75,167,China,Jilin,44.66666666666666,0.5333333333333333,0.008333333333333333,0.0,0.2416666666666667,0.0,97,157,2,155,0.0,0.5806213017751479,1.2738853503184713
76,168,China,Liaoning,45.0,0.4545454545454545,0.011363636363636364,0.0,0.23863636363636365,0.0,98,265,2,262,1.0,0.6079376003670567,0.7547169811320755
77,169,China,Macau,58.0,0.42857142857142855,0.0,0.0,0.25,0.0,99,46,0,46,0.0,7.084094360136879,0.0
78,170,China,Ningxia,40.375,0.75,0.0,0.0,0.25,0.0,100,75,0,75,0.0,1.0901162790697674,0.0
79,172,China,Qinghai,38.95652173913044,0.5652173913043478,0.17391304347826084,0.0,0.07608695652173914,0.0,101,18,0,18,0.0,0.29850746268656714,0.0
80,173,China,Shaanxi,44.88148148148147,0.6222222222222222,0.08518518518518517,0.0,0.1648148148148148,0.0,102,399,3,372,24.0,1.0326086956521738,0.7518796992481203
81,174,China,Shandong,45.47560975609756,0.5609756097560976,0.0,0.0,0.25,0.0,103,831,7,815,9.0,0.8271125709166915,0.8423586040914561
82,175,China,Shanghai,44.029411764705884,0.6764705882352942,0.0,0.0,0.25,0.0,104,972,7,916,49.0,4.00990099009901,0.7201646090534979
83,176,China,Shanxi,34.166666666666664,0.6666666666666666,0.0,0.0,0.25,0.0,105,203,0,203,0.0,0.5459924690693921,0.0
84,177,China,Sichuan,42.98648648648647,0.581081081081081,0.0,0.0,0.25,0.0,106,672,3,652,17.0,0.8056587939096032,0.44642857142857145
85,178,China,Tianjin,46.72,0.44,0.0,0.0,0.25,0.0,107,237,3,226,8.0,1.5192307692307692,1.2658227848101269
86,179,China,Tibet,50.5,0.5,0.0,0.0,0.25,0.0,108,1,0,1,0.0,0.02906976744186046,0.0
87,180,China,Xinjiang,42.269230769230774,0.6538461538461539,0.0,0.0,0.25,0.0,109,902,3,899,0.0,3.626859670285485,0.3325942350332594
88,181,China,Yunnan,44.66666666666666,0.463768115942029,0.014492753623188406,0.0,0.2355072463768116,0.0,110,206,2,196,8.0,0.42650103519668736,0.9708737864077672
89,182,China,Zhejiang,47.37777777777778,0.4888888888888889,0.005555555555555557,0.0,0.24444444444444444,0.0,111,1282,1,1272,9.0,2.2346173958514903,0.078003120124805
90,183,Colombia,Amazonas,38.36318407960199,0.5562189054726369,0.0,0.0,0.25,0.0,112,2732,115,2597,20.0,3567.091880034992,4.209370424597363
91,184,Colombia,Antioquia,37.76983240223464,0.5787709497206703,0.0,0.0,0.25,0.0,113,102501,2187,85968,14346.0,1599.8028437817914,2.133637720607604
92,185,Colombia,Arauca,32.5,0.5,0.0,0.0,0.25,0.0,114,1449,34,1122,293.0,552.6863838519456,2.3464458247066937
93,187,Colombia,Atlantico,38.67789244975557,0.5573058120586638,0.0,0.0,0.25,0.0,115,66512,3016,61671,1825.0,2623.212544029482,4.5345200866009145
94,192,Colombia,Bolivar,42.66304347826087,0.532608695652174,0.0,0.0,0.25,0.0,116,27972,754,25630,1588.0,1351.2325431981876,2.695552695552696
95,193,Colombia,Boyaca,41.80141843971632,0.4397163120567376,0.0,0.0,0.25,0.0,117,5995,117,4266,1612.0,492.4526194043582,1.95162635529608
96,195,Colombia,Caldas,41.10077519379845,0.4108527131782946,0.0,0.0,0.25,0.0,118,4653,106,3183,1364.0,466.1133678268579,2.278100150440576
97,196,Colombia,Caqueta,34.473684210526315,0.5789473684210527,0.0,0.0,0.25,0.0,120,7759,274,6504,981.0,1932.556060066403,3.5313829101688365
98,199,Colombia,Casanare,38.185185185185176,0.5925925925925926,0.0,0.0,0.25,0.0,121,1771,41,1203,527.0,421.1612731389,2.3150762281197066
99,200,Colombia,Cauca,41.528301886792455,0.5094339622641509,0.0,0.0,0.25,0.0,122,8192,224,6257,1711.0,559.3763827358093,2.734375
100,201,Colombia,Cesar,38.723636363636366,0.4654545454545455,0.0,0.0,0.25,0.0,123,17236,494,12740,4002.0,1435.6466157021555,2.866094221397076
101,202,Colombia,Choco,36.86,0.508,0.0,0.0,0.25,0.0,124,3930,154,3636,140.0,734.8184269276362,3.9185750636132317
102,203,Colombia,Cordoba,41.23972602739725,0.4041095890410959,0.0,0.0,0.25,0.0,125,22745,1480,19406,1859.0,1274.384617065492,6.506924598812926
103,204,Colombia,Cundinamarca,37.325524044389645,0.5166461159062885,0.0,0.0,0.25,0.0,126,30582,898,25087,4597.0,1047.666029475242,2.9363677980511413
104,205,Colombia,Guainia,41.0,0.6666666666666666,0.0,0.0,0.25,0.0,127,547,10,234,303.0,1136.8832356486678,1.828153564899452
105,206,Colombia,Huila,41.952380952380956,0.5238095238095238,0.0,0.0,0.25,0.0,129,9380,282,6258,2840.0,852.4281479408135,3.0063965884861408
106,207,Colombia,La Guajira,38.14754098360656,0.5901639344262295,0.0,0.0,0.25,0.0,130,7207,275,5698,1234.0,818.4564368129373,3.8157347023726933
107,208,Colombia,Magdalena,42.051948051948045,0.5324675324675324,0.0,0.0,0.25,0.0,131,14454,789,12119,1546.0,1077.2530717438324,5.4586965545869655
108,209,Colombia,Meta,38.05135135135135,0.8702702702702703,0.0,0.0,0.25,0.0,132,14066,366,11374,2326.0,1352.8616303204124,2.602019053035689
109,210,Colombia,Narino,40.120445344129564,0.5080971659919028,0.0,0.0,0.25,0.0,133,17412,638,14545,2229.0,1067.8330324201272,3.664139673788192
110,211,Colombia,Norte de Santander,40.8421052631579,0.5578947368421052,0.0,0.0,0.25,0.0,134,14427,831,11890,1706.0,967.1587039925882,5.7600332709502995
111,212,Colombia,Putumayo,45.875,0.5,0.0,0.0,0.25,0.0,135,3619,160,3065,394.0,1039.3989350397203,4.421110804089527
112,213,Colombia,Quindio,42.69662921348315,0.5617977528089888,0.0,0.0,0.25,0.0,136,2531,76,1571,884.0,468.7870436225699,3.0027657052548395
113,214,Colombia,Risaralda,37.7258883248731,0.4771573604060914,0.0,0.0,0.25,0.0,137,9468,195,6938,2335.0,1003.602921769216,2.0595690747782003
114,217,Colombia,Santander,45.672566371681405,0.5132743362831859,0.0,0.0,0.25,0.0,139,27012,1158,20338,5516.0,1236.3393699392675,4.286983562860952
115,218,Colombia,Sucre,40.6,0.5,0.0,0.0,0.25,0.0,140,13512,559,11964,989.0,1493.264726262429,4.137063351095323
116,219,Colombia,Tolima,36.404371584699454,0.6502732240437158,0.0,0.0,0.25,0.0,141,10862,277,8129,2456.0,816.5769173807892,2.5501749217455347
117,221,Colombia,Valle del Cauca,42.34485981308411,0.5051401869158878,0.0,0.0,0.25,0.0,142,56837,2092,47119,7626.0,1269.8491427172185,3.680700951844748
118,222,Colombia,Vaupes,34.666666666666664,0.8333333333333334,0.0,0.0,0.25,0.0,143,679,5,457,217.0,1664.3380640733387,0.7363770250368189
119,223,Colombia,Vichada,20.0,1.0,0.0,0.0,0.25,0.0,144,397,4,221,172.0,368.24725437815374,1.0075566750629723
120,399,France,Guadeloupe,49.0,0.6666666666666666,0.0,0.0,0.25,0.0,158,3426,26,837,2563.0,856.2281475631488,0.7589025102159953
121,402,France,Martinique,49.0,0.5,0.0,0.0,0.25,0.0,159,1122,18,98,1006.0,298.98871464165325,1.6042780748663101
122,403,France,Mayotte,52.33333333333334,0.3333333333333333,0.0,0.0,0.25,0.0,160,3541,40,2964,537.0,1297.9586749898285,1.1296243998870377
123,412,Germany,Baden-Wurttemberg,49.21212476547842,0.4920262664165103,0.0,0.0,0.25,0.0,168,46779,1871,41228,3680.0,422.5923532636833,3.9996579661814073
124,414,Germany,Bayern,47.85315524274175,0.4932416220107174,0.0,0.0,0.25,0.0,169,64465,2648,56398,5419.0,492.9752649765945,4.1076553168385965
125,415,Germany,Berlin,45.35732538330494,0.4957410562180579,0.0,0.0,0.25,0.0,170,13064,227,11667,1170.0,358.42588919196686,1.7375995101041029
126,416,Germany,Brandenburg,48.625391849529784,0.4905956112852665,0.0,0.0,0.25,0.0,171,4117,173,3792,152.0,163.8987275455359,4.202088899684236
127,417,Germany,Bremen,43.59299191374664,0.5013477088948787,0.0,0.0,0.25,0.0,172,2192,59,2015,118.0,320.94362109911475,2.6916058394160585
128,418,Germany,Hamburg,45.82840236686391,0.4881656804733728,0.0,0.0,0.25,0.0,173,7149,269,6129,751.0,388.28381162287866,3.7627640229402712
129,420,Germany,Hessen,47.18964053212567,0.5015567506368526,0.0,0.0,0.25,0.0,174,17516,543,15649,1324.0,279.54889783585804,3.100022836263987
130,422,Germany,Mecklenburg-Vorpommern,46.69230769230769,0.5039787798408488,0.0,0.0,0.25,0.0,175,1105,20,1014,71.0,68.64739776662991,1.8099547511312213
131,423,Germany,Niedersachsen,47.77506708953403,0.493535008538668,0.0,0.0,0.25,0.0,176,18775,669,16482,1624.0,235.2035365592109,3.5632490013315583
