,Country_Region,Province_State,Confirmed,Deaths,Recovered,Active,Incidence_Rate,Case-Fatality_Ratio
258,Japan,Iwate,23,0,23,0.0,1.874771766915332,0.0
259,Japan,Kagawa,94,2,82,10.0,9.829068319344339,2.127659574468085
260,Japan,Kagoshima,377,12,354,11.0,23.52907400923563,3.1830238726790454
261,Japan,Kanagawa,6327,136,5484,707.0,68.78468859572259,2.149517938991623
262,Japan,Kochi,137,4,129,4.0,19.626691727707588,2.9197080291970803
263,Japan,Kumamoto,570,8,537,25.0,32.61677520804639,1.4035087719298245
264,Japan,Kyoto,1672,25,1554,93.0,64.7320106374206,1.4952153110047848
265,Japan,Mie,469,5,388,76.0,26.33526533481725,1.0660980810234542
266,Japan,Miyagi,365,2,263,100.0,15.825769121539741,0.547945205479452
267,Japan,Miyazaki,365,1,340,24.0,34.00723562169419,0.273972602739726
268,Japan,Nagano,300,1,296,3.0,14.642789158478909,0.3333333333333333
269,Japan,Nagasaki,236,3,227,6.0,17.79085791135328,1.2711864406779658
270,Japan,Nara,552,9,527,16.0,41.49992143583714,1.6304347826086956
271,Japan,Niigata,162,0,144,18.0,7.287101919566588,0.0
272,Japan,Oita,158,2,151,5.0,13.915383897258673,1.2658227848101269
273,Japan,Okayama,148,1,146,1.0,7.832403500025933,0.6756756756756757
274,Japan,Okinawa,2343,45,2139,159.0,161.23393853979718,1.9206145966709347
275,Japan,Osaka,10001,192,9014,795.0,113.52693719171295,1.91980801919808
276,Japan,Port Quarantine,887,1,514,372.0,0.6979855209316966,0.11273957158962795
277,Japan,Saga,243,0,243,0.0,29.82652744347382,0.0
278,Japan,Saitama,4424,100,4011,313.0,60.192990373883646,2.2603978300180843
279,Japan,Shiga,477,7,448,22.0,33.73544760998145,1.4675052410901468
280,Japan,Shimane,137,0,137,0.0,20.315980223802022,0.0
281,Japan,Shizuoka,519,2,494,23.0,14.244435612955355,0.3853564547206166
282,Japan,Tochigi,385,1,313,71.0,19.90703157720567,0.2597402597402597
283,Japan,Tokushima,147,9,107,31.0,20.192945656250128,6.1224489795918355
284,Japan,Tokyo,24056,390,21208,2458.0,172.8078612347702,1.6212171599600929
285,Japan,Tottori,36,0,23,13.0,6.479971488125452,0.0
286,Japan,Toyama,410,25,374,11.0,39.29077280158543,6.097560975609754
287,Japan,Wakayama,236,5,227,4.0,25.515361653222453,2.1186440677966103
288,Japan,Yamagata,78,1,76,1.0,7.237864050642778,1.2820512820512822
289,Japan,Yamaguchi,195,1,171,23.0,14.355800037693177,0.5128205128205128
290,Japan,Yamanashi,181,6,168,7.0,22.3193366841111,3.3149171270718236
291,Kazakhstan,Ненецкий автономный округ,107262,1671,101877,3714.0,571.250326268605,1.557867651171897
292,Kosovo,منطقة مكة المكرمة,12683,488,8788,3407.0,700.5765684949894,3.8476701095955215
293,Kuwait,Одеська область,99049,581,89498,8970.0,2319.342906310011,0.5865783602055549
294,Libya,ولاية شمال دارفور,27234,436,14679,12119.0,396.34496419666357,1.6009400014687525
295,Liechtenstein,سناج Sanaag,113,1,109,3.0,296.3001809266592,0.8849557522123894
296,Lithuania,أبو ظبي,3664,87,2197,1380.0,134.59251784618178,2.3744541484716155
297,Mali,Kwilu,3006,128,2349,529.0,14.843833098429425,4.258150365934797
298,Malta,كسلا,2699,19,2017,663.0,611.2710315510068,0.7039644312708411
299,Mauritania,Lunda Sul,7365,161,6927,277.0,158.39867861305987,2.1860149355057708
300,Mexico,Aguascalientes,6581,555,5783,243.0,458.7229504368706,8.433368788937852
301,Mexico,Baja California Sur,9374,428,8112,834.0,1164.8945953066204,4.565820354171112
302,Mexico,Chihuahua,9464,1276,7553,635.0,248.95521147382595,13.482671174978867
303,Mexico,Ciudad de Mexico,116943,11545,98840,6558.0,1296.680377152,9.872330964657996
304,Mexico,Coahuila,24766,1723,22020,1023.0,769.4362976586966,6.95711863038036
305,Mexico,Colima,4380,518,3567,295.0,557.8530553917517,11.82648401826484
306,Mexico,Durango,8098,559,6859,680.0,433.2807560850853,6.90293899728328
307,Mexico,Guanajuato,38340,2709,33126,2505.0,615.5896390194561,7.065727699530518
308,Mexico,Guerrero,17335,1811,14318,1206.0,474.0162010452145,10.447072396884916
309,Mexico,Jalisco,24400,2974,19623,1803.0,290.1413880387786,12.188524590163937
310,Mexico,Mexico,76784,8936,64292,3556.0,440.58368846537627,11.637841216920192
311,Mexico,Michoacan,18684,1480,15891,1313.0,387.2009808096778,7.921216013701563
312,Mexico,Nayarit,5642,695,4662,285.0,437.84936957296105,12.318326834455867
313,Mexico,Nuevo Leon,35910,2820,30263,2827.0,640.0894948854336,7.85296574770259
314,Mexico,Oaxaca,15374,1356,13292,726.0,371.0306490043787,8.820085859242877
